clause_id,model,win_share
41,checkpoints/llama3.1-8b-us-rep,0.17595238095238094
41,meta-llama/Llama-3.1-8B,0.1869047619047619
42,checkpoints/llama3.1-8b-adversary-hard,0.15761904761904763
42,checkpoints/llama3.1-8b-adversary-soft,0.18119047619047618
42,checkpoints/llama3.1-8b-full-prism,0.16595238095238096
42,checkpoints/llama3.1-8b-hard-panel,0.14476190476190476
42,checkpoints/llama3.1-8b-soft-panel,0.1980952380952381
42,checkpoints/llama3.1-8b-us-rep,0.09904761904761905
42,meta-llama/Llama-3.1-8B,0.05333333333333334
43,checkpoints/llama3.1-8b-adversary-hard,0.15047619047619049
43,checkpoints/llama3.1-8b-adversary-soft,0.14666666666666667
43,checkpoints/llama3.1-8b-full-prism,0.11404761904761905
43,checkpoints/llama3.1-8b-hard-panel,0.12547619047619046
43,checkpoints/llama3.1-8b-soft-panel,0.09690476190476191
43,checkpoints/llama3.1-8b-us-rep,0.1792857142857143
43,meta-llama/Llama-3.1-8B,0.18714285714285714
44,checkpoints/llama3.1-8b-adversary-hard,0.1626190476190476
44,checkpoints/llama3.1-8b-adversary-soft,0.13904761904761906
44,checkpoints/llama3.1-8b-full-prism,0.14166666666666666
44,checkpoints/llama3.1-8b-hard-panel,0.19523809523809524
44,checkpoints/llama3.1-8b-soft-panel,0.15357142857142858
44,checkpoints/llama3.1-8b-us-rep,0.1169047619047619
44,meta-llama/Llama-3.1-8B,0.09095238095238095
45,checkpoints/llama3.1-8b-adversary-hard,0.05619047619047619
45,checkpoints/llama3.1-8b-adversary-soft,0.20333333333333334
45,checkpoints/llama3.1-8b-full-prism,0.21
45,checkpoints/llama3.1-8b-hard-panel,0.16071428571428573
45,checkpoints/llama3.1-8b-soft-panel,0.20714285714285716
45,checkpoints/llama3.1-8b-us-rep,0.10738095238095238
45,meta-llama/Llama-3.1-8B,0.05523809523809524
46,checkpoints/llama3.1-8b-adversary-hard,0.07285714285714286
46,checkpoints/llama3.1-8b-adversary-soft,0.20023809523809524
46,checkpoints/llama3.1-8b-full-prism,0.18142857142857144
46,checkpoints/llama3.1-8b-hard-panel,0.14595238095238094
46,checkpoints/llama3.1-8b-soft-panel,0.2042857142857143
46,checkpoints/llama3.1-8b-us-rep,0.145
46,meta-llama/Llama-3.1-8B,0.05023809523809524
47,checkpoints/llama3.1-8b-adversary-hard,0.1519047619047619
47,checkpoints/llama3.1-8b-adversary-soft,0.09142857142857143
47,checkpoints/llama3.1-8b-full-prism,0.12071428571428572
47,checkpoints/llama3.1-8b-hard-panel,0.1438095238095238
47,checkpoints/llama3.1-8b-soft-panel,0.09023809523809524
47,checkpoints/llama3.1-8b-us-rep,0.19214285714285714
47,meta-llama/Llama-3.1-8B,0.20976190476190476
48,checkpoints/llama3.1-8b-adversary-hard,0.10214285714285715
48,checkpoints/llama3.1-8b-adversary-soft,0.18095238095238095
48,checkpoints/llama3.1-8b-full-prism,0.18761904761904763
48,checkpoints/llama3.1-8b-hard-panel,0.16
48,checkpoints/llama3.1-8b-soft-panel,0.19666666666666666
48,checkpoints/llama3.1-8b-us-rep,0.1
48,meta-llama/Llama-3.1-8B,0.07261904761904762
49,checkpoints/llama3.1-8b-adversary-hard,0.09404761904761905
49,checkpoints/llama3.1-8b-adversary-soft,0.18619047619047618
49,checkpoints/llama3.1-8b-full-prism,0.14023809523809525
49,checkpoints/llama3.1-8b-hard-panel,0.08166666666666667
49,checkpoints/llama3.1-8b-soft-panel,0.14976190476190476
49,checkpoints/llama3.1-8b-us-rep,0.20785714285714285
49,meta-llama/Llama-3.1-8B,0.14023809523809525
50,checkpoints/llama3.1-8b-adversary-hard,0.13595238095238096
50,checkpoints/llama3.1-8b-adversary-soft,0.15119047619047618
50,checkpoints/llama3.1-8b-full-prism,0.13333333333333333
50,checkpoints/llama3.1-8b-hard-panel,0.145
50,checkpoints/llama3.1-8b-soft-panel,0.1626190476190476
50,checkpoints/llama3.1-8b-us-rep,0.13857142857142857
50,meta-llama/Llama-3.1-8B,0.13333333333333333
51,checkpoints/llama3.1-8b-adversary-hard,0.1730952380952381
51,checkpoints/llama3.1-8b-adversary-soft,0.0911904761904762
51,checkpoints/llama3.1-8b-full-prism,0.10404761904761904
51,checkpoints/llama3.1-8b-hard-panel,0.15761904761904763
